[2507, 6510, 6510, 2501],
[13619, 13513, 13517, 8308],
[16717, 7810, 7810, 16719],
[20025, 4808, 4806, 20018],
[7109, 14918, 15019, 14917],
[20021, 20024, 6513, 6507],
[6511, 6510, 20018, 20025],
[10911, 15920, 10913, 15918],
[9705, 15016, 15016, 15118],
[7409, 20022, 20024, 7412],
[7612, 20022, 7614, 20019],
[19223, 9615, 19217, 9611],
[16016, 16015, 10311, 16117],
[12807, 15515, 15415, 15416],
[20018, 9814, 9810, 20022],
[10812, 20024, 20019, 10812],
[20024, 14118, 20019, 7712],
[20020, 20019, 20015, 4001],
[12014, 20018, 12315, 20013],
[20014, 20022, 12311, 12314],
[20006, 6311, 20012, 20020],
[11212, 20025, 15914, 20017],
[20018, 20010, 7609, 20019],
[8713, 20020, 20023, 20018],
[13313, 19114, 19221, 18316],
[20019, 20019, 20007, 11209],
[13411, 20006, 18418, 20017],
[16009, 20021, 20016, 16018],
[16208, 16209, 20015, 20023],
[20016, 20022, 12911, 20015],
[20021, 20017, 15311, 20017],
[20018, 20016, 20012, 16218],
[19216, 18511, 19218, 19321],
[20014, 20004, 20019, 16714],
[20019, 16716, 20004, 20010],
[19108, 19116, 20016, 20014],
[20016, 20014, 18318, 20014],
[20020, 19514, 20015, 20018],
[20016, 20013, 20011, 20017],
[20004, 20016, 20015, 20013],
[20017, 20013, 20014, 20004],
[20015, 20016, 20011, 20010],
[20017, 20016, 20012, 20004],
[20018, 20005, 20015, 20014],
[20013, 20013, 20016, 20005],
[0, 8111, 8111, 0],
[20017, 17116, 20017, 20019],
[20019, 20023, 1103, 1104],
[13416, 11317, 13413, 6107],
[11611, 14114, 14017, 14014],
[9712, 12212, 12212, 12316],
[10614, 11307, 11414, 11311],
[20025, 20018, 11711, 13717],
[20021, 9009, 20008, 20022],
[10912, 10911, 12513, 12513],
[15819, 15919, 15815, 13007],
[20022, 20022, 10513, 15515],
[9712, 11513, 11415, 11414],
[10011, 13713, 13713, 10819],
[16614, 16615, 20014, 20019],
[3907, 19823, 19826, 3906],
[20017, 20005, 20015, 20013],
[20018, 20004, 15116, 20018],
[18719, 20013, 20017, 20007],
[16615, 16617, 20017, 20028],
[20024, 20023, 8303, 8309],
[20016, 20021, 17307, 17316],
[20021, 20024, 12511, 20022],
[20003, 20021, 20013, 10610],
[17721, 17618, 0, 0],
[15617, 15720, 9513, 15614],
[18721, 18614, 18617, 8912],
[20017, 20015, 20011, 20017],
[20011, 15116, 20019, 20017],
[17315, 14209, 20021, 20019],
[20021, 9808, 9803, 20023],
[12515, 9411, 12515, 9412],
[20026, 20022, 6411, 6406],
[20014, 16514, 20004, 20018],
[19618, 14209, 19916, 19820],
[20022, 20024, 10615, 20008],
[11212, 20026, 20021, 11212],
[18217, 18317, 18205, 11016],
[10912, 16915, 20022, 20025],
[20020, 20004, 12915, 20021],
[20018, 20014, 19116, 20006],
[20017, 20019, 7712, 20020],
[18112, 16314, 20019, 20017],
[18615, 18616, 18718, 12703],
[14506, 18113, 19819, 19821],
[11014, 20014, 20004, 20021],
[902, 20025, 20020, 902],
[20017, 20014, 20004, 20017],
[20018, 20005, 20014, 20014],
[18719, 20020, 13715, 20009],
[16816, 20022, 20016, 13811],
[16514, 20018, 20021, 16514],
[501, 17620, 501, 17622],
[19321, 12711, 12612, 19322],
[3907, 20025, 20025, 3902],
[5005, 20026, 20019, 5008],
[5405, 5407, 19825, 19923],
[18420, 18316, 18319, 11314],
[20020, 10415, 20016, 20020],
[20022, 20018, 9611, 20015],
[20018, 13811, 20014, 20020],
[12410, 10915, 12512, 12417],
[20019, 20021, 14411, 14411],
[15511, 20023, 15512, 20018],
[19620, 8611, 19512, 19512],
[18420, 20015, 13013, 20021],
[16515, 20021, 20021, 10110],
[18922, 10910, 15012, 19023],
[9213, 20021, 14317, 20023],
[20020, 7811, 20019, 20020],
[20021, 20016, 5511, 17019],
[16412, 20019, 20017, 20020],
[20020, 19604, 20015, 19611],
[17216, 20007, 20015, 20009],
[20018, 20020, 11116, 11104],
[16513, 20015, 20021, 13808],
[10914, 20011, 20015, 20019],
[10311, 20018, 20008, 20022],
[20018, 20015, 16916, 16911],
[10010, 20021, 20018, 20014],
[20018, 20004, 20012, 20013],
[20006, 20019, 15813, 20021],
[20018, 20009, 18317, 8110],
[20012, 20014, 18810, 20020],
[20018, 20017, 20009, 17616],
[20004, 20015, 20009, 20019],
[20010, 18818, 20017, 20012],
